"project","file_id","sample_barcode","patient_id","sample_type","gene_name","ensembl_id","unstranded","TPM","FPKM","FPKM_UQ","extraction_status"
"TCGA-BLCA","5916b276-8e9d-41e6-8c41-3030c48cbdce","TCGA-E7-A8O7-01A-11R-A36F-07","TCGA-E7-A8O7","Primary Tumor","JAK3","ENSG00000105639",853,7.1036,2.224,2.0934,"OK"
"TCGA-BLCA","5916b276-8e9d-41e6-8c41-3030c48cbdce","TCGA-E7-A8O7-01A-11R-A36F-07","TCGA-E7-A8O7","Primary Tumor","EPHB2","ENSG00000133216",2587,11.7273,3.6716,3.456,"OK"
"TCGA-BLCA","8282ed85-8ba2-4a43-93cc-69bb7be57353","TCGA-ZF-A9RE-01A-11R-A38B-07","TCGA-ZF-A9RE","Primary Tumor","JAK3","ENSG00000105639",148,1.8239,0.5726,0.5795,"OK"
"TCGA-BLCA","8282ed85-8ba2-4a43-93cc-69bb7be57353","TCGA-ZF-A9RE-01A-11R-A38B-07","TCGA-ZF-A9RE","Primary Tumor","EPHB2","ENSG00000133216",215,1.4423,0.4528,0.4582,"OK"
"TCGA-BLCA","1b490f2b-97bb-4229-853d-d566ecc341d6","TCGA-XF-AAN3-01A-11R-A42T-07","TCGA-XF-AAN3","Primary Tumor","JAK3","ENSG00000105639",1637,6.973,2.1091,2.406,"OK"
"TCGA-BLCA","1b490f2b-97bb-4229-853d-d566ecc341d6","TCGA-XF-AAN3-01A-11R-A42T-07","TCGA-XF-AAN3","Primary Tumor","EPHB2","ENSG00000133216",7059,16.3676,4.9506,5.6477,"OK"
"TCGA-BLCA","b90c65f0-a8e2-4e44-96a6-fcaa6d71ebed","TCGA-G2-A2EC-01A-11R-A180-07","TCGA-G2-A2EC","Primary Tumor","JAK3","ENSG00000105639",1682,11.4123,4.5049,5.0131,"OK"
"TCGA-BLCA","b90c65f0-a8e2-4e44-96a6-fcaa6d71ebed","TCGA-G2-A2EC-01A-11R-A180-07","TCGA-G2-A2EC","Primary Tumor","EPHB2","ENSG00000133216",833,3.0766,1.2144,1.3514,"OK"
"TCGA-BLCA","a1d27fd6-5666-4124-a317-a1f6cd2b2935","TCGA-G2-AA3B-01A-11R-A39I-07","TCGA-G2-AA3B","Primary Tumor","JAK3","ENSG00000105639",674,3.5901,1.6237,1.8809,"OK"
"TCGA-BLCA","a1d27fd6-5666-4124-a317-a1f6cd2b2935","TCGA-G2-AA3B-01A-11R-A39I-07","TCGA-G2-AA3B","Primary Tumor","EPHB2","ENSG00000133216",417,1.2091,0.5468,0.6335,"OK"
"TCGA-BLCA","261618b0-d45b-4115-aab1-aebaf576d6ae","TCGA-ZF-AA5P-01A-11R-A39I-07","TCGA-ZF-AA5P","Primary Tumor","JAK3","ENSG00000105639",1277,12.4407,4.6435,5.3128,"OK"
"TCGA-BLCA","261618b0-d45b-4115-aab1-aebaf576d6ae","TCGA-ZF-AA5P-01A-11R-A39I-07","TCGA-ZF-AA5P","Primary Tumor","EPHB2","ENSG00000133216",321,1.7023,0.6354,0.727,"OK"
"TCGA-BLCA","e33cec2a-d24a-4fef-b5c6-dba7123a6005","TCGA-GD-A3OP-01A-21R-A220-07","TCGA-GD-A3OP","Primary Tumor","JAK3","ENSG00000105639",1045,7.2044,2.3938,2.3534,"OK"
"TCGA-BLCA","e33cec2a-d24a-4fef-b5c6-dba7123a6005","TCGA-GD-A3OP-01A-21R-A220-07","TCGA-GD-A3OP","Primary Tumor","EPHB2","ENSG00000133216",698,2.6195,0.8703,0.8557,"OK"
"TCGA-BLCA","627e89e2-8297-482b-9e59-2382e0e66da5","TCGA-DK-A1AC-01A-11R-A13Y-07","TCGA-DK-A1AC","Primary Tumor","JAK3","ENSG00000105639",1323,11.0124,3.3083,3.3757,"OK"
"TCGA-BLCA","627e89e2-8297-482b-9e59-2382e0e66da5","TCGA-DK-A1AC-01A-11R-A13Y-07","TCGA-DK-A1AC","Primary Tumor","EPHB2","ENSG00000133216",224,1.0149,0.3049,0.3111,"OK"
"TCGA-BLCA","93c4cd53-899b-421f-9bf4-360f8010aab4","TCGA-CF-A3MG-01A-11R-A20F-07","TCGA-CF-A3MG","Primary Tumor","JAK3","ENSG00000105639",93,1.1171,0.3437,0.3303,"OK"
"TCGA-BLCA","93c4cd53-899b-421f-9bf4-360f8010aab4","TCGA-CF-A3MG-01A-11R-A20F-07","TCGA-CF-A3MG","Primary Tumor","EPHB2","ENSG00000133216",766,5.0084,1.5409,1.4811,"OK"
"TCGA-BLCA","2fd4f1f9-57c6-4729-a541-6fa8a58950a6","TCGA-FD-A3B5-01A-11R-A20F-07","TCGA-FD-A3B5","Primary Tumor","JAK3","ENSG00000105639",331,2.4423,0.7733,0.9086,"OK"
"TCGA-BLCA","2fd4f1f9-57c6-4729-a541-6fa8a58950a6","TCGA-FD-A3B5-01A-11R-A20F-07","TCGA-FD-A3B5","Primary Tumor","EPHB2","ENSG00000133216",1928,7.7436,2.452,2.8808,"OK"
"TCGA-BLCA","06ea34ab-c935-429d-a2e8-f264a103138c","TCGA-DK-A1A7-01A-11R-A13Y-07","TCGA-DK-A1A7","Primary Tumor","JAK3","ENSG00000105639",532,1.9951,1.3199,2.3899,"OK"
"TCGA-BLCA","06ea34ab-c935-429d-a2e8-f264a103138c","TCGA-DK-A1A7-01A-11R-A13Y-07","TCGA-DK-A1A7","Primary Tumor","EPHB2","ENSG00000133216",2452,5.0054,3.3114,5.9961,"OK"
"TCGA-BLCA","78354679-491a-4177-af56-863fffbd7f23","TCGA-CF-A8HX-01A-11R-A36F-07","TCGA-CF-A8HX","Primary Tumor","JAK3","ENSG00000105639",563,3.4448,1.904,2.5425,"OK"
"TCGA-BLCA","78354679-491a-4177-af56-863fffbd7f23","TCGA-CF-A8HX-01A-11R-A36F-07","TCGA-CF-A8HX","Primary Tumor","EPHB2","ENSG00000133216",662,2.2049,1.2187,1.6274,"OK"
"TCGA-BLCA","db2d5d9c-248d-49ab-9058-0b7d2d5a6884","TCGA-FD-A3SL-01A-21R-A22U-07","TCGA-FD-A3SL","Primary Tumor","JAK3","ENSG00000105639",588,5.3895,1.8791,2.0939,"OK"
"TCGA-BLCA","db2d5d9c-248d-49ab-9058-0b7d2d5a6884","TCGA-FD-A3SL-01A-21R-A22U-07","TCGA-FD-A3SL","Primary Tumor","EPHB2","ENSG00000133216",348,1.7363,0.6054,0.6746,"OK"
"TCGA-BLCA","1f2028e7-ec61-4fe1-b8bc-26e909957068","TCGA-E7-A7DV-01A-11R-A33J-07","TCGA-E7-A7DV","Primary Tumor","JAK3","ENSG00000105639",973,7.4937,2.4814,2.8442,"OK"
"TCGA-BLCA","1f2028e7-ec61-4fe1-b8bc-26e909957068","TCGA-E7-A7DV-01A-11R-A33J-07","TCGA-E7-A7DV","Primary Tumor","EPHB2","ENSG00000133216",7240,30.3526,10.0506,11.5202,"OK"
"TCGA-BLCA","716e7829-401e-42de-b8c4-a07ca3e275cc","TCGA-BT-A20Q-11A-11R-A14Y-07","TCGA-BT-A20Q","Solid Tissue Normal","JAK3","ENSG00000105639",34,0.6257,0.1633,0.2232,"OK"
