"project","file_id","sample_barcode","patient_id","sample_type","gene_name","ensembl_id","unstranded","TPM","FPKM","FPKM_UQ","extraction_status"
"TCGA-LUSC","6896f254-0a80-40de-a674-02685d335151","TCGA-22-5478-01A-01R-1635-07","TCGA-22-5478","Primary Tumor","EPHB2","ENSG00000133216",11023,41.2062,11.9281,11.6493,"OK"
"TCGA-LUSC","5f656efa-0043-40d4-9276-37971aaf7774","TCGA-43-A475-01A-11R-A24H-07","TCGA-43-A475","Primary Tumor","JAK3","ENSG00000105639",4694,44.9668,13.9297,13.9471,"OK"
"TCGA-LUSC","5f656efa-0043-40d4-9276-37971aaf7774","TCGA-43-A475-01A-11R-A24H-07","TCGA-43-A475","Primary Tumor","EPHB2","ENSG00000133216",1277,6.6591,2.0628,2.0654,"OK"
"TCGA-LUSC","da204644-aaaf-48ed-9c8c-3f1ea0a36b3a","TCGA-22-5492-01A-01R-1635-07","TCGA-22-5492","Primary Tumor","JAK3","ENSG00000105639",3400,21.2414,7.1724,6.512,"OK"
"TCGA-LUSC","da204644-aaaf-48ed-9c8c-3f1ea0a36b3a","TCGA-22-5492-01A-01R-1635-07","TCGA-22-5492","Primary Tumor","EPHB2","ENSG00000133216",1208,4.1081,1.3872,1.2594,"OK"
"TCGA-LUSC","5be877e7-15a7-48e6-b05a-cb1dfa39aa25","TCGA-98-A53H-01A-12R-A262-07","TCGA-98-A53H","Primary Tumor","JAK3","ENSG00000105639",4813,43.1034,14.2849,14.1454,"OK"
"TCGA-LUSC","5be877e7-15a7-48e6-b05a-cb1dfa39aa25","TCGA-98-A53H-01A-12R-A262-07","TCGA-98-A53H","Primary Tumor","EPHB2","ENSG00000133216",1371,6.6835,2.215,2.1934,"OK"
"TCGA-LUSC","2561a166-42c2-4136-b353-a428211ea84b","TCGA-56-A5DS-01A-11R-A27Q-07","TCGA-56-A5DS","Primary Tumor","JAK3","ENSG00000105639",2218,21.8504,8.1002,7.7343,"OK"
"TCGA-LUSC","2561a166-42c2-4136-b353-a428211ea84b","TCGA-56-A5DS-01A-11R-A27Q-07","TCGA-56-A5DS","Primary Tumor","EPHB2","ENSG00000133216",1023,5.4859,2.0337,1.9418,"OK"
"TCGA-LUSC","108d78db-9d31-4dbf-86f7-5e50134b91a6","TCGA-98-A53J-01A-11R-A26W-07","TCGA-98-A53J","Primary Tumor","JAK3","ENSG00000105639",371,4.1931,1.4862,1.6873,"OK"
"TCGA-LUSC","108d78db-9d31-4dbf-86f7-5e50134b91a6","TCGA-98-A53J-01A-11R-A26W-07","TCGA-98-A53J","Primary Tumor","EPHB2","ENSG00000133216",399,2.4547,0.87,0.9878,"OK"
"TCGA-LUSC","5403fcdd-3011-4ec4-ab0d-7fbe0b49a927","TCGA-63-A5MI-01A-12R-A27Q-07","TCGA-63-A5MI","Primary Tumor","JAK3","ENSG00000105639",596,7.0323,2.1882,2.3113,"OK"
"TCGA-LUSC","5403fcdd-3011-4ec4-ab0d-7fbe0b49a927","TCGA-63-A5MI-01A-12R-A27Q-07","TCGA-63-A5MI","Primary Tumor","EPHB2","ENSG00000133216",1187,7.6238,2.3723,2.5057,"OK"
"TCGA-LUSC","ddf190fa-393b-46f9-8793-c6eb4f08313b","TCGA-NC-A5HI-01A-11R-A26W-07","TCGA-NC-A5HI","Primary Tumor","JAK3","ENSG00000105639",681,6.1916,2.1121,2.176,"OK"
"TCGA-LUSC","ddf190fa-393b-46f9-8793-c6eb4f08313b","TCGA-NC-A5HI-01A-11R-A26W-07","TCGA-NC-A5HI","Primary Tumor","EPHB2","ENSG00000133216",305,1.5095,0.5149,0.5305,"OK"
"TCGA-LUSC","6170ecbe-9ede-4afe-b020-655a903d96aa","TCGA-22-4595-01A-01R-1201-07","TCGA-22-4595","Primary Tumor","JAK3","ENSG00000105639",1317,9.3379,3.1163,3.2026,"OK"
"TCGA-LUSC","6170ecbe-9ede-4afe-b020-655a903d96aa","TCGA-22-4595-01A-01R-1201-07","TCGA-22-4595","Primary Tumor","EPHB2","ENSG00000133216",2888,11.1463,3.7198,3.8228,"OK"
"TCGA-LUSC","8f2bec2c-7a61-4749-bfb1-3c5dba953c8a","TCGA-79-5596-01A-31R-1949-07","TCGA-79-5596","Primary Tumor","JAK3","ENSG00000105639",675,5.2382,1.5535,1.6888,"OK"
