"project","file_id","sample_barcode","patient_id","sample_type","gene_name","ensembl_id","unstranded","TPM","FPKM","FPKM_UQ","extraction_status"
"TCGA-LUAD","3d08a99f-46c1-4e06-a042-521a54ebbe1e","TCGA-91-6848-01A-11R-1949-07","TCGA-91-6848","Primary Tumor","EPHB2","ENSG00000133216",2153,23.0874,6.756,6.2215,"OK"
"TCGA-LUAD","b0b5b05d-f782-449d-94cf-8fd74a4bd30c","TCGA-44-3917-01A-01R-A278-07","TCGA-44-3917","Primary Tumor","JAK3","ENSG00000105639",623,3.9769,3.4483,3.1306,"OK"
"TCGA-LUAD","b0b5b05d-f782-449d-94cf-8fd74a4bd30c","TCGA-44-3917-01A-01R-A278-07","TCGA-44-3917","Primary Tumor","EPHB2","ENSG00000133216",280,0.9729,0.8436,0.7659,"OK"
"TCGA-LUAD","1529d8e6-10d2-4e7c-bfb1-66820434c835","TCGA-91-A4BD-01A-11R-A24H-07","TCGA-91-A4BD","Primary Tumor","JAK3","ENSG00000105639",717,9.159,3.6407,4.6543,"OK"
"TCGA-LUAD","1529d8e6-10d2-4e7c-bfb1-66820434c835","TCGA-91-A4BD-01A-11R-A24H-07","TCGA-91-A4BD","Primary Tumor","EPHB2","ENSG00000133216",229,1.5923,0.633,0.8092,"OK"
"TCGA-LUAD","aab3583f-37ca-4f2f-8428-aa8eda2c2274","TCGA-55-6981-11A-01R-1949-07","TCGA-55-6981","Solid Tissue Normal","JAK3","ENSG00000105639",370,8.3877,2.3812,2.3222,"OK"
"TCGA-LUAD","aab3583f-37ca-4f2f-8428-aa8eda2c2274","TCGA-55-6981-11A-01R-1949-07","TCGA-55-6981","Solid Tissue Normal","EPHB2","ENSG00000133216",224,2.7642,0.7847,0.7653,"OK"
"TCGA-LUAD","555bdfe8-80bb-46db-80f1-421038f5c2b4","TCGA-MP-A4SW-01A-21R-A24X-07","TCGA-MP-A4SW","Primary Tumor","JAK3","ENSG00000105639",2345,21.0066,7.4175,7.6482,"OK"
"TCGA-LUAD","555bdfe8-80bb-46db-80f1-421038f5c2b4","TCGA-MP-A4SW-01A-21R-A24X-07","TCGA-MP-A4SW","Primary Tumor","EPHB2","ENSG00000133216",832,4.057,1.4326,1.4771,"OK"
"TCGA-LUAD","932ccb56-ad41-40a0-9ab3-21f490c60af5","TCGA-97-7552-01A-11R-2039-07","TCGA-97-7552","Primary Tumor","JAK3","ENSG00000105639",2719,24.32,8.6365,8.359,"OK"
"TCGA-LUAD","932ccb56-ad41-40a0-9ab3-21f490c60af5","TCGA-97-7552-01A-11R-2039-07","TCGA-97-7552","Primary Tumor","EPHB2","ENSG00000133216",978,4.7618,1.691,1.6367,"OK"
"TCGA-LUAD","94613d97-0a68-4212-beef-3c97a0b363ef","TCGA-50-5931-11A-01R-1858-07","TCGA-50-5931","Solid Tissue Normal","JAK3","ENSG00000105639",182,2.7278,0.8325,0.9508,"OK"
"TCGA-LUAD","94613d97-0a68-4212-beef-3c97a0b363ef","TCGA-50-5931-11A-01R-1858-07","TCGA-50-5931","Solid Tissue Normal","EPHB2","ENSG00000133216",293,2.3904,0.7296,0.8332,"OK"
"TCGA-LUAD","8af996d7-2c5e-4d17-b1a5-8751f4784eba","TCGA-55-8089-01A-11R-2241-07","TCGA-55-8089","Primary Tumor","JAK3","ENSG00000105639",4384,29.7183,10.2298,10.3601,"OK"
"TCGA-LUAD","8af996d7-2c5e-4d17-b1a5-8751f4784eba","TCGA-55-8089-01A-11R-2241-07","TCGA-55-8089","Primary Tumor","EPHB2","ENSG00000133216",3825,14.1142,4.8585,4.9204,"OK"
"TCGA-LUAD","06a639d9-ade5-4cbb-91b0-a41449ce4f49","TCGA-78-8662-01A-11R-2403-07","TCGA-78-8662","Primary Tumor","JAK3","ENSG00000105639",130,2.0277,0.6287,0.619,"OK"
"TCGA-LUAD","06a639d9-ade5-4cbb-91b0-a41449ce4f49","TCGA-78-8662-01A-11R-2403-07","TCGA-78-8662","Primary Tumor","EPHB2","ENSG00000133216",163,1.3839,0.4291,0.4225,"OK"
"TCGA-LUAD","c7ee3fa6-4a2f-4824-a098-91ce6c1223c3","TCGA-55-8512-01A-11R-2403-07","TCGA-55-8512","Primary Tumor","JAK3","ENSG00000105639",559,6.4521,2.0512,2.0901,"OK"
"TCGA-LUAD","c7ee3fa6-4a2f-4824-a098-91ce6c1223c3","TCGA-55-8512-01A-11R-2403-07","TCGA-55-8512","Primary Tumor","EPHB2","ENSG00000133216",554,3.4807,1.1066,1.1275,"OK"
"TCGA-LUAD","b6a0d742-e7bc-4d67-8014-675e62f1ddd0","TCGA-MN-A4N5-01A-11R-A24X-07","TCGA-MN-A4N5","Primary Tumor","JAK3","ENSG00000105639",2719,25.1881,7.6324,7.6564,"OK"
"TCGA-LUAD","b6a0d742-e7bc-4d67-8014-675e62f1ddd0","TCGA-MN-A4N5-01A-11R-A24X-07","TCGA-MN-A4N5","Primary Tumor","EPHB2","ENSG00000133216",2367,11.9359,3.6168,3.6281,"OK"
"TCGA-LUAD","169b5555-f64c-4bbd-9c07-af0c42ddb6aa","TCGA-78-8640-01A-11R-2403-07","TCGA-78-8640","Primary Tumor","JAK3","ENSG00000105639",2514,29.6131,10.7977,10.6547,"OK"
