"project","sample_barcode","patient_id","sample_type","file_id","gene_id","gene_name","unstranded_count","TPM","FPKM","FPKM_UQ","extraction_status"
"TCGA-BLCA","TCGA-4Z-AA89-01A-11R-A39I-07","TCGA-4Z-AA89","Primary Tumor","b36498b1-cabf-45fb-965d-ef191b77a5a2","ENSG00000105639.20","JAK3",175,2.2768,0.7283,0.7474,"OK"
"TCGA-BLCA","TCGA-K4-A6FZ-01A-11R-A31N-07","TCGA-K4-A6FZ","Primary Tumor","4e8b592f-d4ac-488c-94e4-a07387ec9724","ENSG00000105639.20","JAK3",835,6.6799,2.1084,2.1306,"OK"
"TCGA-BLCA","TCGA-LT-A8JT-01A-11R-A36F-07","TCGA-LT-A8JT","Primary Tumor","efc448d3-a3c6-4df9-a626-907ce3d5bcfc","ENSG00000105639.20","JAK3",728,6.1025,2.1043,2.1935,"OK"
"TCGA-BLCA","TCGA-XF-A9SI-01A-11R-A39I-07","TCGA-XF-A9SI","Primary Tumor","b6d78cef-254d-4d31-9749-e2fa1ad9abec","ENSG00000105639.20","JAK3",3364,35.6183,12.0025,12.3326,"OK"
"TCGA-BLCA","TCGA-ZF-A9RN-01A-11R-A42T-07","TCGA-ZF-A9RN","Primary Tumor","0180b8ef-dbca-4edd-bce1-3f793f354f13","ENSG00000105639.20","JAK3",415,5.2438,1.5331,1.4903,"OK"
"TCGA-BLCA","TCGA-FJ-A3Z9-01A-11R-A26T-07","TCGA-FJ-A3Z9","Primary Tumor","359de6d5-cc11-4b8b-add4-7d3577d66e2c","ENSG00000105639.20","JAK3",198,2.0513,0.8225,0.9042,"OK"
"TCGA-BLCA","TCGA-BT-A3PK-01A-21R-A220-07","TCGA-BT-A3PK","Primary Tumor","c0bc697a-ac64-4605-9abc-f0fe85eb481a","ENSG00000105639.20","JAK3",2299,10.4408,3.8887,4.4422,"OK"
"TCGA-BLCA","TCGA-DK-A6B0-01A-11R-A31N-07","TCGA-DK-A6B0","Primary Tumor","17c85380-56c8-42d6-8beb-ea4379155172","ENSG00000105639.20","JAK3",837,7.1609,2.519,2.6934,"OK"
"TCGA-BLCA","TCGA-G2-A2ES-01A-11R-A180-07","TCGA-G2-A2ES","Primary Tumor","20a68a0c-d0c3-4bf1-a1e1-0f0f2f1906b7","ENSG00000105639.20","JAK3",622,4.5026,1.5389,1.7004,"OK"
"TCGA-BLCA","TCGA-K4-AAQO-01A-11R-A38B-07","TCGA-K4-AAQO","Primary Tumor","c60f5d01-ee5f-48ea-808f-f753ab98a850","ENSG00000105639.20","JAK3",640,7.3341,2.4504,2.6388,"OK"
"TCGA-BLCA","TCGA-GC-A3BM-01A-11R-A22U-07","TCGA-GC-A3BM","Primary Tumor","57b8b640-efcf-426f-bc01-82c4c58ff02c","ENSG00000105639.20","JAK3",574,6.1302,1.7846,1.7495,"OK"
"TCGA-BLCA","TCGA-GV-A3QK-01B-11R-A23N-07","TCGA-GV-A3QK","Primary Tumor","7a8ce605-eb1c-4281-ac60-6a20a3e31eea","ENSG00000105639.20","JAK3",1148,6.0835,2.6404,3.0934,"OK"
"TCGA-BLCA","TCGA-CU-A0YN-01A-21R-A10U-07","TCGA-CU-A0YN","Primary Tumor","a4af6581-9fa8-4520-a639-f9340c6a1e36","ENSG00000105639.20","JAK3",993,8.5162,3.0304,3.1183,"OK"
"TCGA-BLCA","TCGA-GC-A3RB-01A-12R-A220-07","TCGA-GC-A3RB","Primary Tumor","cc0a4389-50a5-46e1-a793-565121b1f631","ENSG00000105639.20","JAK3",406,3.4447,0.9685,0.9348,"OK"
"TCGA-BLCA","TCGA-UY-A78L-01A-12R-A33J-07","TCGA-UY-A78L","Primary Tumor","99516a60-a265-479e-a779-81703a4c494f","ENSG00000105639.20","JAK3",475,3.473,1.3033,1.5016,"OK"
"TCGA-BLCA","TCGA-DK-A1A5-01A-11R-A13Y-07","TCGA-DK-A1A5","Primary Tumor","a0e8a424-6341-4703-a76b-f414f951639e","ENSG00000105639.20","JAK3",430,3.6139,0.9793,1.0243,"OK"
"TCGA-BLCA","TCGA-FD-A6TC-01A-21R-A33J-07","TCGA-FD-A6TC","Primary Tumor","498e5e18-7443-4799-af81-6d829f819da6","ENSG00000105639.20","JAK3",662,6.6994,1.9984,2.0979,"OK"
"TCGA-BLCA","TCGA-FD-A5C1-01A-11R-A28M-07","TCGA-FD-A5C1","Primary Tumor","ea54af34-feba-4605-bb2b-82f3b7db84da","ENSG00000105639.20","JAK3",895,8.0216,3.0245,3.5659,"OK"
"TCGA-BLCA","TCGA-DK-AA6U-01A-11R-A39I-07","TCGA-DK-AA6U","Primary Tumor","456db4ed-e648-416c-b327-e7106e4b8221","ENSG00000105639.20","JAK3",658,5.7476,1.8612,1.7211,"OK"
"TCGA-BLCA","TCGA-CF-A47T-01A-11R-A23W-07","TCGA-CF-A47T","Primary Tumor","d0856e8b-4552-4127-b410-4e3ef58d057c","ENSG00000105639.20","JAK3",178,1.5088,0.6383,0.8173,"OK"
"TCGA-BLCA","TCGA-XF-AAMW-01A-11R-A42T-07","TCGA-XF-AAMW","Primary Tumor","a422753c-ed27-46a4-a96f-fa2e3d301a2f","ENSG00000105639.20","JAK3",593,11.3482,3.2182,3.4327,"OK"
"TCGA-BLCA","TCGA-DK-A3IS-01A-21R-A21D-07","TCGA-DK-A3IS","Primary Tumor","0eb7d661-320f-4b56-9a22-5750cfb4f34f","ENSG00000105639.20","JAK3",261,1.785,0.6196,0.6682,"OK"
"TCGA-BLCA","TCGA-GU-A764-01A-11R-A352-07","TCGA-GU-A764","Primary Tumor","c4a84877-1830-4d5c-914b-e70b28c94809","ENSG00000105639.20","JAK3",1780,12.8727,5.2915,5.814,"OK"
