"project","sample_barcode","patient_id","sample_type","file_id","gene_id","gene_name","unstranded_count","TPM","FPKM","FPKM_UQ","extraction_status"
"TCGA-KIRC","TCGA-B0-5699-11A-01R-1541-07","TCGA-B0-5699","Solid Tissue Normal","0a98d561-9c8c-40d2-aaaf-cad735533329","ENSG00000105639.20","JAK3",114,0.8664,0.3433,0.3772,"OK"
"TCGA-KIRC","TCGA-BP-4340-01A-01R-1289-07","TCGA-BP-4340","Primary Tumor","ffe0d448-20d6-4952-9650-03531ef6fc79","ENSG00000105639.20","JAK3",583,4.2825,1.257,1.2329,"OK"
"TCGA-KIRC","TCGA-CZ-4860-01A-01R-1305-07","TCGA-CZ-4860","Primary Tumor","3a6bb1dd-89ba-4f26-b7d7-c0c174c0bdf1","ENSG00000105639.20","JAK3",1888,16.5853,4.4705,5.4625,"OK"
"TCGA-KIRC","TCGA-CZ-5458-11A-01R-1503-07","TCGA-CZ-5458","Solid Tissue Normal","331a54d0-3061-4e9e-93c7-3fb0f9a96254","ENSG00000105639.20","JAK3",333,1.7496,0.5213,0.5596,"OK"
"TCGA-KIRC","TCGA-CZ-5458-01A-01R-1503-07","TCGA-CZ-5458","Primary Tumor","206a4211-c6c8-4f43-be95-1f36289d7bd6","ENSG00000105639.20","JAK3",1045,7.8933,2.3405,2.45,"OK"
"TCGA-KIRC","TCGA-B0-4823-01A-02R-1420-07","TCGA-B0-4823","Primary Tumor","b8a61143-0c20-4db9-a4fd-9c8b375ba841","ENSG00000105639.20","JAK3",1497,12.8924,3.8278,4.1151,"OK"
"TCGA-KIRC","TCGA-3Z-A93Z-01A-11R-A37O-07","TCGA-3Z-A93Z","Primary Tumor","21702617-18af-41b6-98fa-54395bfd0d9a","ENSG00000105639.20","JAK3",561,8.3463,2.6091,2.6146,"OK"
"TCGA-KIRC","TCGA-BP-4765-01A-01R-1289-07","TCGA-BP-4765","Primary Tumor","f7a5094f-fea0-4ddf-ac40-8265cddbabc2","ENSG00000105639.20","JAK3",871,6.7892,1.9394,1.9438,"OK"
"TCGA-KIRC","TCGA-B0-4819-01A-01R-1277-07","TCGA-B0-4819","Primary Tumor","06f37a68-0ffa-494c-9b43-00fc1e8b9ad2","ENSG00000105639.20","JAK3",5910,34.7167,17.1596,20.9543,"OK"
"TCGA-KIRC","TCGA-CJ-4874-01A-01R-1305-07","TCGA-CJ-4874","Primary Tumor","336a927a-fe7a-4c77-8fcb-5307cfd145c4","ENSG00000105639.20","JAK3",848,6.7844,2.17,2.3088,"OK"
"TCGA-KIRC","TCGA-BP-4804-01A-02R-1305-07","TCGA-BP-4804","Primary Tumor","1a106eaf-ff8d-43eb-8720-8be7ba8d9888","ENSG00000105639.20","JAK3",2668,27.8788,10.1904,11.2195,"OK"
"TCGA-KIRC","TCGA-B0-5120-01A-01R-1420-07","TCGA-B0-5120","Primary Tumor","a7ce93ac-964a-4d4e-980a-7fb987bf58b7","ENSG00000105639.20","JAK3",1381,12.2869,3.6174,3.7764,"OK"
"TCGA-KIRC","TCGA-BP-4962-01A-01R-1334-07","TCGA-BP-4962","Primary Tumor","9e969cab-9be7-4aa5-957f-5868071cd1c7","ENSG00000105639.20","JAK3",1934,9.9085,4.1255,5.2694,"OK"
"TCGA-KIRC","TCGA-B0-4818-01A-01R-1503-07","TCGA-B0-4818","Primary Tumor","80472422-c0f4-4814-be44-fb1c9e821409","ENSG00000105639.20","JAK3",2024,13.6361,4.9394,4.9751,"OK"
"TCGA-KIRC","TCGA-G6-A8L8-01A-21R-A37O-07","TCGA-G6-A8L8","Primary Tumor","8e4480b4-e56b-4937-94c7-617b4125615c","ENSG00000105639.20","JAK3",2255,22.4072,7.5509,7.698,"OK"
"TCGA-KIRC","TCGA-AK-3433-01A-02R-1277-07","TCGA-AK-3433","Primary Tumor","2a9c1676-cb34-430b-8111-6a28c563065b","ENSG00000105639.20","JAK3",185,1.5063,0.6801,0.8541,"OK"
"TCGA-KIRC","TCGA-BP-5174-01A-01R-1426-07","TCGA-BP-5174","Primary Tumor","8225b9d3-d25a-4f08-b369-d0ac81a8748c","ENSG00000105639.20","JAK3",429,2.6922,1.0671,1.2798,"OK"
"TCGA-KIRC","TCGA-CJ-5686-01A-11R-1672-07","TCGA-CJ-5686","Primary Tumor","12eadc69-863d-46fe-bb19-f8b38b05471b","ENSG00000105639.20","JAK3",2566,18.5082,5.5203,5.7907,"OK"
"TCGA-KIRC","TCGA-B0-4842-01A-02R-1420-07","TCGA-B0-4842","Primary Tumor","b2a87553-0fb8-4e1f-9e6e-cc0510b07c8a","ENSG00000105639.20","JAK3",6814,57.1974,24.2097,31.7818,"OK"
"TCGA-KIRC","TCGA-B2-3923-01A-02R-A277-07","TCGA-B2-3923","Primary Tumor","4134fa64-6365-4a43-b990-48342be44405","ENSG00000105639.20","JAK3",168,1.1717,0.6262,0.6578,"OK"
"TCGA-KIRC","TCGA-B0-5696-01A-11R-1541-07","TCGA-B0-5696","Primary Tumor","1e1f9cde-c6e0-4925-944f-12d354ef858e","ENSG00000105639.20","JAK3",703,5.2731,1.6728,1.8475,"OK"
"TCGA-KIRC","TCGA-CJ-5681-01A-11R-1541-07","TCGA-CJ-5681","Primary Tumor","6f2cbdf8-24b9-4b9c-9a73-4e872852e6ac","ENSG00000105639.20","JAK3",150,1.5554,0.3983,0.3657,"OK"
