"patient_id","sample_type","TPM"
"TCGA-CZ-5469","Primary Tumor",14.5232
"TCGA-CZ-5470","Primary Tumor",8.5829
"TCGA-CZ-5982","Primary Tumor",9.3953
"TCGA-CZ-5984","Primary Tumor",36.7351
"TCGA-CZ-5985","Primary Tumor",17.1575
"TCGA-CZ-5986","Primary Tumor",11.8647
"TCGA-CZ-5987","Primary Tumor",25.3212
"TCGA-CZ-5988","Primary Tumor",16.146
"TCGA-CZ-5989","Primary Tumor",6.557
"TCGA-DV-5565","Primary Tumor",8.2994
"TCGA-DV-5566","Primary Tumor",5.5873
"TCGA-DV-5567","Primary Tumor",10.0825
"TCGA-DV-5568","Primary Tumor",8.4108
"TCGA-DV-5569","Primary Tumor",13.7422
"TCGA-DV-5573","Primary Tumor",23.4735
"TCGA-DV-5574","Primary Tumor",19.3342
"TCGA-DV-5575","Primary Tumor",12.5092
"TCGA-DV-5576","Primary Tumor",11.075
"TCGA-DV-A4VX","Primary Tumor",20.6864
"TCGA-DV-A4VZ","Primary Tumor",15.8621
"TCGA-DV-A4W0","Primary Tumor",2.8893
"TCGA-EU-5904","Primary Tumor",6.6577
"TCGA-EU-5905","Primary Tumor",28.6761
"TCGA-EU-5906","Primary Tumor",7.9987
"TCGA-EU-5907","Primary Tumor",4.8415
"TCGA-G6-A5PC","Primary Tumor",4.3273
"TCGA-G6-A8L6","Primary Tumor",9.1855
"TCGA-G6-A8L7","Primary Tumor",23.6328
"TCGA-G6-A8L8","Primary Tumor",22.4072
"TCGA-GK-A6C7","Primary Tumor",8.6656
"TCGA-MM-A563","Primary Tumor",27.8775
"TCGA-MM-A564","Primary Tumor",14.2907
"TCGA-MM-A84U","Primary Tumor",12.5428
"TCGA-MW-A4EC","Primary Tumor",11.9661
"TCGA-T7-A92I","Primary Tumor",2.9039
"TCGA-A3-3358","Solid Tissue Normal",1.2857
"TCGA-A3-3387","Solid Tissue Normal",1.08
"TCGA-B0-4700","Solid Tissue Normal",1.7803
"TCGA-B0-4712","Solid Tissue Normal",3.1301
"TCGA-B0-5402","Solid Tissue Normal",6.28
"TCGA-B0-5690","Solid Tissue Normal",0.8919
"TCGA-B0-5691","Solid Tissue Normal",6.1649
"TCGA-B0-5694","Solid Tissue Normal",4.6571
"TCGA-B0-5696","Solid Tissue Normal",1.8208
"TCGA-B0-5697","Solid Tissue Normal",0.9158
"TCGA-B0-5699","Solid Tissue Normal",0.8664
"TCGA-B0-5701","Solid Tissue Normal",3.5063
"TCGA-B0-5703","Solid Tissue Normal",1.8626
"TCGA-B0-5705","Solid Tissue Normal",1.6704
"TCGA-B0-5706","Solid Tissue Normal",1.2186
"TCGA-B0-5709","Solid Tissue Normal",2.3995
"TCGA-B0-5711","Solid Tissue Normal",1.6668
"TCGA-B0-5712","Solid Tissue Normal",5.5535
