"patient_id","Tumor_TPM","Normal_TPM","Gene","Tumor_log2TPM1","Normal_log2TPM1","Difference"
"TCGA-B8-4620",1.4024,4.2071,"EPHB2",1.2644763800077,2.38048011329985,-1.11600373329215
"TCGA-B8-4622",1.2215,1.9321,"EPHB2",1.15153414134792,1.5519343077841,-0.400400166436184
"TCGA-B8-5549",1.3729,9.3019,"EPHB2",1.24665130299963,3.36483853596449,-2.11818723296487
"TCGA-B8-5552",2.7069,12.1396,"EPHB2",1.89021319650316,3.71584945222188,-1.82563625571871
"TCGA-CJ-5672",1.803,6.3456,"EPHB2",1.48697174437041,2.87688033716292,-1.38990859279251
"TCGA-CJ-5676",0.5598,2.6576,"EPHB2",0.641361056327364,1.87089730866503,-1.22953625233766
"TCGA-CJ-5677",3.7165,2.8165,"EPHB2",2.23771666769931,1.9322501913294,0.305466476369908
"TCGA-CJ-5678",0.8499,1.1032,"EPHB2",0.887447285118125,1.0725860470686,-0.185138761950472
"TCGA-CJ-5679",1.0171,3.1194,"EPHB2",1.0122826089523,2.04243422088883,-1.03015161193653
"TCGA-CJ-5680",1.3114,4.6448,"EPHB2",1.20876694742141,2.49692246600807,-1.28815551858666
"TCGA-CJ-5681",2.8392,1.8313,"EPHB2",1.94080571816674,1.50146462299202,0.439341095174724
"TCGA-CJ-5689",1.2879,7.4082,"EPHB2",1.19402399588513,3.07179698609083,-1.8777729902057
"TCGA-CJ-6030",3.3155,1.6431,"EPHB2",2.10952772179836,1.4022310094573,0.707296712341052
"TCGA-CJ-6033",1.0583,2.079,"EPHB2",1.04145327230454,1.62246186738273,-0.581008595078195
"TCGA-CW-5580",1.6526,5.9424,"EPHB2",1.40740714012577,2.79543449126729,-1.38802735114152
"TCGA-CW-5581",0.9592,1.9162,"EPHB2",0.970264679014529,1.5440896665488,-0.573824987534273
"TCGA-CW-5584",1.5129,7.0004,"EPHB2",1.32935326080288,3.00007213294874,-1.67071887214586
"TCGA-CW-5585",0.3817,1.1229,"EPHB2",0.466444406250493,1.08603641415334,-0.619592007902845
"TCGA-CW-5587",3.8182,1.9581,"EPHB2",2.26849428004786,1.5646708242644,0.703823455783458
"TCGA-CW-5589",2.7823,3.906,"EPHB2",1.91926379780574,2.29454723389552,-0.375283436089777
"TCGA-CW-5591",6.1536,1.7887,"EPHB2",2.83866945099319,1.47959274189883,1.35907670909436
"TCGA-CW-6087",17.1068,2.8731,"EPHB2",4.17845969738456,1.95348875095098,2.22497094643358
"TCGA-CW-6088",0.7109,6.9427,"EPHB2",0.774755438541415,2.9896295129684,-2.21487407442699
"TCGA-CW-6090",2.113,1.6413,"EPHB2",1.63830557680709,1.40124817274016,0.23705740406693
"TCGA-CZ-4863",1.9618,4.1653,"EPHB2",1.56647422376316,2.36885214307742,-0.802377919314255
"TCGA-CZ-4864",2.9166,1.3878,"EPHB2",1.96960179423615,1.25568200281221,0.71391979142394
"TCGA-CZ-4865",3.8109,4.0544,"EPHB2",2.26630681168297,2.33753984219742,-0.07123303051445
"TCGA-CZ-5451",0.6927,1.617,"EPHB2",0.759326304678515,1.38791392438595,-0.628587619707433
"TCGA-CZ-5452",1.762,6.7877,"EPHB2",1.46571331959596,2.9611973092189,-1.49548398962293
"TCGA-CZ-5453",0.2382,7.2875,"EPHB2",0.308244364393713,3.05093696522523,-2.74269260083151
"TCGA-CZ-5454",2.8477,8.9967,"EPHB2",1.94399631849866,3.32145192695184,-1.37745560845318
"TCGA-CZ-5455",2.2376,7.4385,"EPHB2",1.69492475411997,3.07698657299804,-1.38206181887807
"TCGA-CZ-5456",2.1104,3.8777,"EPHB2",1.63710012405633,2.28620102877333,-0.649100904717001
"TCGA-CZ-5457",1.0238,4.8932,"EPHB2",1.01706672418983,2.55905122836702,-1.54198450417718
"TCGA-CZ-5458",0.6949,4.4129,"EPHB2",0.761200156099086,2.43640173539474,-1.67520157929566
"TCGA-CZ-5461",1.6204,5.0936,"EPHB2",1.38978705373566,2.60729480081921,-1.21750774708356
"TCGA-CZ-5462",1.5978,9.7722,"EPHB2",1.37729036453678,3.42924101561099,-2.05195065107422
