"project","sample_barcode","patient_id","sample_type","file_id","gene_id","gene_name","unstranded_count","TPM","FPKM","FPKM_UQ","extraction_status","Gene","log2TPM1"
"TCGA-KIRC","TCGA-BP-4331-01A-01R-1289-07","TCGA-BP-4331","Primary Tumor","f462d8a7-549d-4823-be4b-1b5c81678665","ENSG00000133216.17","EPHB2",456,2.1391,0.5994,0.5543,"OK","EPHB2",1.65035098852695
"TCGA-KIRC","TCGA-AK-3451-01A-02R-1188-07","TCGA-AK-3451","Primary Tumor","e71c8e45-ab52-4796-ab72-e8add8868291","ENSG00000133216.17","EPHB2",81,0.3281,0.1573,0.2105,"OK","EPHB2",0.409363779269573
"TCGA-KIRC","TCGA-CJ-4642-01B-01R-1305-07","TCGA-CJ-4642","Primary Tumor","e0f18f8e-b8e0-4bf2-916c-69a38fc64fd8","ENSG00000133216.17","EPHB2",74,2.7773,1.4361,1.5458,"OK","EPHB2",1.91735536977877
"TCGA-KIRC","TCGA-BP-5191-01A-01R-1426-07","TCGA-BP-5191","Primary Tumor","822bf4fe-8d43-47c8-9906-5d38c4a21f27","ENSG00000133216.17","EPHB2",277,0.6681,0.4571,0.8077,"OK","EPHB2",0.738205778698426
"TCGA-KIRC","TCGA-B0-5812-01A-11R-1672-07","TCGA-B0-5812","Primary Tumor","adfade14-1572-4e3a-b4eb-64de445b9678","ENSG00000133216.17","EPHB2",227,1.0426,0.2895,0.2864,"OK","EPHB2",1.03040671042605
"TCGA-KIRC","TCGA-BP-4993-01A-02R-1420-07","TCGA-BP-4993","Primary Tumor","49ddcd56-df4a-4136-a743-c21bb6bfd8a6","ENSG00000133216.17","EPHB2",163,0.7538,0.2449,0.2595,"OK","EPHB2",0.81048423497776
"TCGA-KIRC","TCGA-DV-5574-01A-01R-1541-07","TCGA-DV-5574","Primary Tumor","79b49079-070b-4b97-80b9-838bbd32f33c","ENSG00000133216.17","EPHB2",1253,5.1392,1.6311,1.7937,"OK","EPHB2",2.61805067005334
"TCGA-KIRC","TCGA-CZ-4865-01A-02R-1503-07","TCGA-CZ-4865","Primary Tumor","1a9ee264-40bf-4a12-bcee-bd0f989e0798","ENSG00000133216.17","EPHB2",1266,3.8109,1.1423,1.2183,"OK","EPHB2",2.26630681168297
"TCGA-KIRC","TCGA-BP-4988-01A-01R-1334-07","TCGA-BP-4988","Primary Tumor","e59a58f3-d886-45a8-a296-263297839a63","ENSG00000133216.17","EPHB2",343,1.5981,0.5416,0.5521,"OK","EPHB2",1.37745696070404
"TCGA-KIRC","TCGA-AK-3455-01A-01R-0864-07","TCGA-AK-3455","Primary Tumor","9fcf3bdd-e137-4f93-83f4-24b883ca62c3","ENSG00000133216.17","EPHB2",91,0.4985,0.16,0.168,"OK","EPHB2",0.583519083851487
"TCGA-KIRC","TCGA-B0-5694-11A-01R-1541-07","TCGA-B0-5694","Solid Tissue Normal","986759bd-7232-46a9-84f3-0e71026a01fd","ENSG00000133216.17","EPHB2",715,2.7463,0.9849,1.0078,"OK","EPHB2",1.90546643379942
"TCGA-KIRC","TCGA-B0-4690-01A-01R-1277-07","TCGA-B0-4690","Primary Tumor","0e7e953c-82c3-4887-86b5-584d41cfe518","ENSG00000133216.17","EPHB2",829,3.9793,1.1436,1.2258,"OK","EPHB2",2.31594293958026
"TCGA-KIRC","TCGA-B0-4700-01A-02R-1541-07","TCGA-B0-4700","Primary Tumor","f34985d8-172b-4fae-8d06-989e7dc4dc06","ENSG00000133216.17","EPHB2",488,2.0686,0.7657,0.9044,"OK","EPHB2",1.61758059900527
"TCGA-KIRC","TCGA-CZ-5469-11A-01R-1503-07","TCGA-CZ-5469","Solid Tissue Normal","3bfbdcb6-1e9a-43e9-9015-d55b279dc559","ENSG00000133216.17","EPHB2",1316,4.7141,1.4253,1.4602,"OK","EPHB2",2.51452628447899
"TCGA-KIRC","TCGA-CZ-5989-01A-11R-1672-07","TCGA-CZ-5989","Primary Tumor","afe6bf7f-c463-4077-9c5c-3d00ce6ee8a8","ENSG00000133216.17","EPHB2",95,0.6338,0.1828,0.1836,"OK","EPHB2",0.708231388215503
"TCGA-KIRC","TCGA-BP-4177-01A-02R-1420-07","TCGA-BP-4177","Primary Tumor","7947afe8-e62c-4d32-81d6-5eb44fd1cea6","ENSG00000133216.17","EPHB2",358,1.6577,0.4546,0.4929,"OK","EPHB2",1.41017826302682
"TCGA-KIRC","TCGA-BP-4807-01A-01R-1305-07","TCGA-BP-4807","Primary Tumor","e8871fd9-41a0-4c1f-b44c-ea7beea35ebe","ENSG00000133216.17","EPHB2",664,4.1551,1.1946,1.2021,"OK","EPHB2",2.36600041364669
"TCGA-KIRC","TCGA-A3-3335-01A-01R-0864-07","TCGA-A3-3335","Primary Tumor","8522fa29-c1b0-4e41-9bcb-2e0bc7c8e2d0","ENSG00000133216.17","EPHB2",98,0.3264,0.129,0.1607,"OK","EPHB2",0.407515911946301
"TCGA-KIRC","TCGA-B8-5552-11A-01R-1672-07","TCGA-B8-5552","Solid Tissue Normal","bed26808-c053-4ad1-ba5c-68819d4a6fd1","ENSG00000133216.17","EPHB2",2277,12.1396,2.9611,2.8252,"OK","EPHB2",3.71584945222188
"TCGA-KIRC","TCGA-CJ-4886-01A-01R-1305-07","TCGA-CJ-4886","Primary Tumor","bd1ebebf-1e32-4c8e-a476-a429bfbc3d46","ENSG00000133216.17","EPHB2",366,1.8649,0.5395,0.5403,"OK","EPHB2",1.5184847822555
"TCGA-KIRC","TCGA-DV-5573-01A-01R-1541-07","TCGA-DV-5573","Primary Tumor","1bd902eb-9e76-406a-bfe9-b0b5861bcdfb","ENSG00000133216.17","EPHB2",639,3.3164,1.0176,1.0064,"OK","EPHB2",2.10982856530709
"TCGA-KIRC","TCGA-CJ-4900-01A-01R-1334-07","TCGA-CJ-4900","Primary Tumor","9845de96-d57a-4613-89db-6a6c4e2eca4b","ENSG00000133216.17","EPHB2",563,1.6972,0.9832,1.1685,"OK","EPHB2",1.43146250277863
"TCGA-KIRC","TCGA-B0-5712-11A-01R-1672-07","TCGA-B0-5712","Solid Tissue Normal","4d6e5f5f-ab63-49a6-9a53-a89b7ef76783","ENSG00000133216.17","EPHB2",1560,6.3988,2.0279,2.1068,"OK","EPHB2",2.8872913012234
"TCGA-KIRC","TCGA-CZ-4858-01A-01R-1305-07","TCGA-CZ-4858","Primary Tumor","e4747f6d-4c5c-4d49-886f-2c69fe206879","ENSG00000133216.17","EPHB2",493,2.9169,0.8355,0.9848,"OK","EPHB2",1.96971229618611
"TCGA-KIRC","TCGA-B2-5633-01A-01R-A277-07","TCGA-B2-5633","Primary Tumor","bdb74506-8766-42e1-922e-e03da4637a70","ENSG00000133216.17","EPHB2",404,1.4359,0.7041,0.659,"OK","EPHB2",1.28445490809426
"TCGA-KIRC","TCGA-B2-5633-01B-04R-A277-07","TCGA-B2-5633","Primary Tumor","307fc027-0530-452b-8fa9-d46f7fc73d0e","ENSG00000133216.17","EPHB2",351,3.7851,1.2264,1.0909,"OK","EPHB2",2.25854907476283
"TCGA-KIRC","TCGA-BP-4795-01A-02R-1420-07","TCGA-BP-4795","Primary Tumor","58585ab6-9163-4bfb-ae55-9529ad1bc3aa","ENSG00000133216.17","EPHB2",706,3.3149,0.8828,0.9284,"OK","EPHB2",2.10932712460102
"TCGA-KIRC","TCGA-BP-4354-01A-02R-1289-07","TCGA-BP-4354","Primary Tumor","961f4263-5071-4dfd-b626-346f916b4c9d","ENSG00000133216.17","EPHB2",1136,8.359,2.2603,2.2531,"OK","EPHB2",3.22635438748887
