"project","file_id","sample_barcode","patient_id","sample_type","gene_name","ensembl_id","unstranded","TPM","FPKM","FPKM_UQ","extraction_status"
"TCGA-BRCA","d2007230-83cb-4f12-bec5-e42afc4a58cd","TCGA-AN-A0AK-01A-21R-A00Z-07","TCGA-AN-A0AK","Primary Tumor","EPHB2","ENSG00000133216",248,1.6278,0.4472,0.4147,"OK"
"TCGA-BRCA","7afb1455-c2b6-4ae2-95ec-682ae7df34a2","TCGA-BH-A28Q-01A-11R-A16F-07","TCGA-BH-A28Q","Primary Tumor","JAK3","ENSG00000105639",642,4.9635,1.2083,1.1346,"OK"
"TCGA-BRCA","7afb1455-c2b6-4ae2-95ec-682ae7df34a2","TCGA-BH-A28Q-01A-11R-A16F-07","TCGA-BH-A28Q","Primary Tumor","EPHB2","ENSG00000133216",416,1.7507,0.4262,0.4002,"OK"
"TCGA-BRCA","69f5df3f-273f-4e02-934b-af9c9ec52067","TCGA-A2-A259-01A-11R-A16F-07","TCGA-A2-A259","Primary Tumor","JAK3","ENSG00000105639",1889,16.5006,4.326,4.1009,"OK"
"TCGA-BRCA","69f5df3f-273f-4e02-934b-af9c9ec52067","TCGA-A2-A259-01A-11R-A16F-07","TCGA-A2-A259","Primary Tumor","EPHB2","ENSG00000133216",592,2.8149,0.738,0.6996,"OK"
"TCGA-BRCA","05aa6d12-6d48-4ecb-8211-036e647ef72e","TCGA-AC-A2FF-01A-11R-A17B-07","TCGA-AC-A2FF","Primary Tumor","JAK3","ENSG00000105639",1158,8.8798,2.6381,2.6536,"OK"
"TCGA-BRCA","05aa6d12-6d48-4ecb-8211-036e647ef72e","TCGA-AC-A2FF-01A-11R-A17B-07","TCGA-AC-A2FF","Primary Tumor","EPHB2","ENSG00000133216",834,3.4812,1.0342,1.0403,"OK"
"TCGA-BRCA","6c3f2469-50ea-48a7-bb17-043e74e54535","TCGA-AC-A2FG-01A-11R-A17B-07","TCGA-AC-A2FG","Primary Tumor","JAK3","ENSG00000105639",502,3.5931,0.9943,0.9277,"OK"
"TCGA-BRCA","6c3f2469-50ea-48a7-bb17-043e74e54535","TCGA-AC-A2FG-01A-11R-A17B-07","TCGA-AC-A2FG","Primary Tumor","EPHB2","ENSG00000133216",392,1.5273,0.4226,0.3943,"OK"
"TCGA-BRCA","88a16056-cc45-4fee-99e0-f7fc7e1971df","TCGA-BH-A0B0-01A-21R-A115-07","TCGA-BH-A0B0","Primary Tumor","JAK3","ENSG00000105639",718,6.9514,1.9766,2.1617,"OK"
"TCGA-BRCA","88a16056-cc45-4fee-99e0-f7fc7e1971df","TCGA-BH-A0B0-01A-21R-A115-07","TCGA-BH-A0B0","Primary Tumor","EPHB2","ENSG00000133216",536,2.8248,0.8032,0.8784,"OK"
"TCGA-BRCA","16ffdede-3d07-431a-a4ed-318c7a66c096","TCGA-AO-A0JD-01A-11R-A056-07","TCGA-AO-A0JD","Primary Tumor","JAK3","ENSG00000105639",358,3.5844,0.9908,1.0053,"OK"
"TCGA-BRCA","16ffdede-3d07-431a-a4ed-318c7a66c096","TCGA-AO-A0JD-01A-11R-A056-07","TCGA-AO-A0JD","Primary Tumor","EPHB2","ENSG00000133216",302,1.6459,0.455,0.4616,"OK"
"TCGA-BRCA","e173c170-b7c6-4aa9-9f34-33cd02702d75","TCGA-AO-A128-01A-11R-A10J-07","TCGA-AO-A128","Primary Tumor","JAK3","ENSG00000105639",7197,55.2068,14.857,14.3048,"OK"
"TCGA-BRCA","e173c170-b7c6-4aa9-9f34-33cd02702d75","TCGA-AO-A128-01A-11R-A10J-07","TCGA-AO-A128","Primary Tumor","EPHB2","ENSG00000133216",4757,19.8631,5.3455,5.1468,"OK"
"TCGA-BRCA","195c9f03-31c3-465a-ac58-3949246b173b","TCGA-BH-A1FE-01A-11R-A13Q-07","TCGA-BH-A1FE","Primary Tumor","JAK3","ENSG00000105639",2512,19.0944,4.9214,4.7875,"OK"
"TCGA-BRCA","195c9f03-31c3-465a-ac58-3949246b173b","TCGA-BH-A1FE-01A-11R-A13Q-07","TCGA-BH-A1FE","Primary Tumor","EPHB2","ENSG00000133216",1023,4.2329,1.091,1.0613,"OK"
"TCGA-BRCA","9a6563cf-557b-4f26-b6a2-6c6f1eb03654","TCGA-BH-A0BM-01A-11R-A056-07","TCGA-BH-A0BM","Primary Tumor","JAK3","ENSG00000105639",240,2.6943,1.0082,1.0896,"OK"
"TCGA-BRCA","9a6563cf-557b-4f26-b6a2-6c6f1eb03654","TCGA-BH-A0BM-01A-11R-A056-07","TCGA-BH-A0BM","Primary Tumor","EPHB2","ENSG00000133216",178,1.0878,0.4071,0.4399,"OK"
"TCGA-BRCA","c5e46ae9-c4c1-4afd-a772-392ede15808d","TCGA-AN-A0FZ-01A-11R-A034-07","TCGA-AN-A0FZ","Primary Tumor","JAK3","ENSG00000105639",810,4.8566,1.4355,1.4545,"OK"
"TCGA-BRCA","c5e46ae9-c4c1-4afd-a772-392ede15808d","TCGA-AN-A0FZ-01A-11R-A034-07","TCGA-AN-A0FZ","Primary Tumor","EPHB2","ENSG00000133216",696,2.2716,0.6714,0.6803,"OK"
"TCGA-BRCA","4f54add3-c33d-4bc9-9e1f-c75f52d15f1e","TCGA-BH-A1FE-11B-14R-A13Q-07","TCGA-BH-A1FE","Solid Tissue Normal","JAK3","ENSG00000105639",706,6.3109,1.7533,1.6819,"OK"
"TCGA-BRCA","4f54add3-c33d-4bc9-9e1f-c75f52d15f1e","TCGA-BH-A1FE-11B-14R-A13Q-07","TCGA-BH-A1FE","Solid Tissue Normal","EPHB2","ENSG00000133216",150,0.7299,0.2028,0.1945,"OK"
"TCGA-BRCA","fc0e74d2-ab94-48b1-8e31-808bde7a3fe6","TCGA-A8-A07F-01A-11R-A00Z-07","TCGA-A8-A07F","Primary Tumor","JAK3","ENSG00000105639",508,4.7755,1.1203,0.9887,"OK"
"TCGA-BRCA","fc0e74d2-ab94-48b1-8e31-808bde7a3fe6","TCGA-A8-A07F-01A-11R-A00Z-07","TCGA-A8-A07F","Primary Tumor","EPHB2","ENSG00000133216",535,2.7377,0.6422,0.5668,"OK"
"TCGA-BRCA","31e1dbf5-8c97-4e4d-a488-d6737ab304c2","TCGA-A2-A0EO-01A-11R-A034-07","TCGA-A2-A0EO","Primary Tumor","JAK3","ENSG00000105639",651,4.9974,1.5563,1.6772,"OK"
"TCGA-BRCA","31e1dbf5-8c97-4e4d-a488-d6737ab304c2","TCGA-A2-A0EO-01A-11R-A034-07","TCGA-A2-A0EO","Primary Tumor","EPHB2","ENSG00000133216",507,2.1186,0.6598,0.711,"OK"
"TCGA-BRCA","222b562a-3ef7-4e69-a60d-54aac5104102","TCGA-A1-A0SP-01A-11R-A084-07","TCGA-A1-A0SP","Primary Tumor","JAK3","ENSG00000105639",548,4.7897,1.4408,1.4702,"OK"
"TCGA-BRCA","222b562a-3ef7-4e69-a60d-54aac5104102","TCGA-A1-A0SP-01A-11R-A084-07","TCGA-A1-A0SP","Primary Tumor","EPHB2","ENSG00000133216",417,1.984,0.5968,0.609,"OK"
"TCGA-BRCA","0d11c50a-8648-48ea-a107-e138a1d3e086","TCGA-BH-A1F8-11B-21R-A13Q-07","TCGA-BH-A1F8","Solid Tissue Normal","JAK3","ENSG00000105639",405,5.7288,1.7004,1.6697,"OK"
"TCGA-BRCA","0d11c50a-8648-48ea-a107-e138a1d3e086","TCGA-BH-A1F8-11B-21R-A13Q-07","TCGA-BH-A1F8","Solid Tissue Normal","EPHB2","ENSG00000133216",221,1.7017,0.5051,0.4959,"OK"
"TCGA-BRCA","0c068d5a-ccad-47a5-bfe0-0dc5f136d6aa","TCGA-A2-A3XT-01A-11R-A22U-07","TCGA-A2-A3XT","Primary Tumor","JAK3","ENSG00000105639",1730,12.1017,3.8881,3.9233,"OK"
"TCGA-BRCA","0c068d5a-ccad-47a5-bfe0-0dc5f136d6aa","TCGA-A2-A3XT-01A-11R-A22U-07","TCGA-A2-A3XT","Primary Tumor","EPHB2","ENSG00000133216",788,3.0005,0.964,0.9728,"OK"
"TCGA-BRCA","d5358d17-4c49-46fa-8a96-4af9ab298ab4","TCGA-BH-A5J0-01A-11R-A27Q-07","TCGA-BH-A5J0","Primary Tumor","JAK3","ENSG00000105639",819,7.6881,2.5964,2.8291,"OK"
"TCGA-BRCA","d5358d17-4c49-46fa-8a96-4af9ab298ab4","TCGA-BH-A5J0-01A-11R-A27Q-07","TCGA-BH-A5J0","Primary Tumor","EPHB2","ENSG00000133216",923,4.7164,1.5928,1.7355,"OK"
"TCGA-BRCA","20e90b8d-aa05-4918-8e54-1b969488148f","TCGA-A8-A08I-01A-11R-A00Z-07","TCGA-A8-A08I","Primary Tumor","JAK3","ENSG00000105639",3319,18.6661,5.2602,5.0675,"OK"
"TCGA-BRCA","20e90b8d-aa05-4918-8e54-1b969488148f","TCGA-A8-A08I-01A-11R-A00Z-07","TCGA-A8-A08I","Primary Tumor","EPHB2","ENSG00000133216",1482,4.537,1.2785,1.2317,"OK"
"TCGA-BRCA","3c70b5af-2238-4fbe-991b-dc68975cc7f1","TCGA-A7-A26F-01A-21R-A169-07","TCGA-A7-A26F","Primary Tumor","JAK3","ENSG00000105639",1589,4.1118,3.8351,4.1789,"OK"
"TCGA-BRCA","3c70b5af-2238-4fbe-991b-dc68975cc7f1","TCGA-A7-A26F-01A-21R-A169-07","TCGA-A7-A26F","Primary Tumor","EPHB2","ENSG00000133216",1980,2.789,2.6013,2.8345,"OK"
"TCGA-BRCA","be65c37e-7aa8-466d-a1fe-102e8e25e2e9","TCGA-AR-A255-01A-11R-A169-07","TCGA-AR-A255","Primary Tumor","JAK3","ENSG00000105639",864,8.3678,2.0065,1.9383,"OK"
"TCGA-BRCA","be65c37e-7aa8-466d-a1fe-102e8e25e2e9","TCGA-AR-A255-01A-11R-A169-07","TCGA-AR-A255","Primary Tumor","EPHB2","ENSG00000133216",1108,5.8413,1.4007,1.3531,"OK"
"TCGA-BRCA","051a1102-a815-4b39-b903-80d8b4a2348f","TCGA-AO-A0J8-01A-21R-A034-07","TCGA-AO-A0J8","Primary Tumor","JAK3","ENSG00000105639",648,4.4912,1.199,1.1891,"OK"
"TCGA-BRCA","051a1102-a815-4b39-b903-80d8b4a2348f","TCGA-AO-A0J8-01A-21R-A034-07","TCGA-AO-A0J8","Primary Tumor","EPHB2","ENSG00000133216",835,3.1503,0.841,0.8341,"OK"
"TCGA-BRCA","5711aa8f-5cd6-41d0-b469-40f049556693","TCGA-C8-A278-01A-11R-A169-07","TCGA-C8-A278","Primary Tumor","JAK3","ENSG00000105639",1451,8.0145,3.3433,3.4424,"OK"
"TCGA-BRCA","5711aa8f-5cd6-41d0-b469-40f049556693","TCGA-C8-A278-01A-11R-A169-07","TCGA-C8-A278","Primary Tumor","EPHB2","ENSG00000133216",725,2.1798,0.9093,0.9363,"OK"
"TCGA-BRCA","be10214b-9a03-4556-b28b-5775028c782b","TCGA-AC-A3W7-01A-11R-A22K-07","TCGA-AC-A3W7","Primary Tumor","JAK3","ENSG00000105639",700,6.0371,1.5817,1.5167,"OK"
