"patient_id","Tumor_TPM","Normal_TPM","Gene","Tumor_log2TPM1","Normal_log2TPM1","Difference"
"TCGA-BH-A0BM",2.6943,4.7551,"JAK3",1.88530102683427,2.52484099668951,-0.639539969855235
"TCGA-BH-A0BQ",7.8213,10.1228,"JAK3",3.14099128223964,3.47544810575669,-0.334456823517048
"TCGA-BH-A0BS",1.09,4.9872,"JAK3",1.06350294230616,2.58188146369133,-1.51837852138518
"TCGA-BH-A0BT",4.1881,4.9076,"JAK3",2.37520628763003,2.56257214540658,-0.187365857776545
"TCGA-BH-A0BV",6.2961,5.78,"JAK3",2.86712550314786,2.76128527336162,0.10584022978624
"TCGA-BH-A0BW",20.3481,46.7911,"JAK3",4.41603576929729,5.57867006913174,-1.16263429983445
"TCGA-BH-A0BZ",15.0172,4.7808,"JAK3",4.00155006415866,2.53126915988299,1.47028090427567
"TCGA-BH-A0C0",20.5714,5.8941,"JAK3",4.43104790641185,2.78536222537443,1.64568568103743
"TCGA-BH-A0C3",9.8247,7.0826,"JAK3",3.43625513697472,3.01481945185481,0.421435685119914
"TCGA-BH-A0DD",5.2681,2.7493,"JAK3",2.64802819645907,1.90662126739614,0.741406929062929
"TCGA-BH-A0DG",9.189,4.2649,"JAK3",3.34894055994994,2.39640612937555,0.952534430574391
"TCGA-BH-A0DH",2.2461,3.7633,"JAK3",1.69870744451986,2.25196141472808,-0.55325397020822
"TCGA-BH-A0DK",13.3065,2.8495,"JAK3",3.83859886337056,1.94467107064773,1.89392779272283
"TCGA-BH-A0DL",10.3169,11.9942,"JAK3",3.50040691461906,3.69979591057048,-0.199388995951421
"TCGA-BH-A0DO",4.8956,5.988,"JAK3",2.55963864492273,2.80487960825467,-0.245240963331947
"TCGA-BH-A0DP",5.181,4.9287,"JAK3",2.62784026504398,2.5677157963124,0.0601244687315856
"TCGA-BH-A0DQ",3.0896,4.7644,"JAK3",2.03195974139755,2.52717044966841,-0.495210708270867
"TCGA-BH-A0DT",9.8171,4.1009,"JAK3",3.4352418679526,2.35075181786518,1.08449005008743
"TCGA-BH-A0DV",6.2791,4.257,"JAK3",2.86376008424221,2.39423973490979,0.46952034933242
"TCGA-BH-A0DZ",4.4449,4.9961,"JAK3",2.44490555292218,2.58402444404312,-0.139118891120937
"TCGA-BH-A0E0",4.3481,3.3484,"JAK3",2.41902644152612,2.12048465689546,0.298541784630665
"TCGA-BH-A0E1",2.2064,3.3809,"JAK3",1.68095441364576,2.13122728356051,-0.450272869914751
"TCGA-BH-A0H5",41.187,5.9512,"JAK3",5.39872659322898,2.79726205475805,2.60146453847093
"TCGA-BH-A0H7",2.2739,2.9497,"JAK3",1.7110102559271,1.98174307735332,-0.270732821426223
"TCGA-BH-A0H9",2.0855,2.735,"JAK3",1.625504294584,1.90110824301451,-0.275603948430509
"TCGA-BH-A0HA",5.1568,5.4586,"JAK3",2.62218070422059,2.69122147266692,-0.0690407684463281
"TCGA-BH-A0HK",2.0643,2.9433,"JAK3",1.61555754638991,1.97940347256801,-0.363845926178104
"TCGA-BH-A18J",3.094,5.1683,"JAK3",2.03351110236132,2.6248729335388,-0.591361831177472
"TCGA-BH-A18K",2.5536,4.3514,"JAK3",1.82928129799753,2.41991636980051,-0.590635071802976
"TCGA-BH-A18L",1.7495,4.9406,"JAK3",1.45916928659895,2.57060865043841,-1.11143936383945
"TCGA-BH-A18M",5.7351,6.7418,"JAK3",2.75169936639033,2.95266903783751,-0.200969671447179
"TCGA-BH-A18N",2.2198,7.3963,"JAK3",1.68697107716928,3.06975371507933,-1.38278263791006
"TCGA-BH-A18P",4.6706,2,"JAK3",2.50350139323239,1.58496250072116,0.918538892511237
"TCGA-BH-A18Q",8.0747,8.045,"JAK3",3.18184994992202,3.17712050284652,0.00472944707550438
"TCGA-BH-A18R",5.7171,3.2959,"JAK3",2.7478385070165,2.10296041064566,0.644878096370838
"TCGA-BH-A18S",1.3246,6.7153,"JAK3",1.21698248926877,2.94772225531805,-1.73073976604928
"TCGA-BH-A18U",4.2072,5.9319,"JAK3",2.38050781933945,2.79325084224409,-0.41274302290464
"TCGA-BH-A18V",13.2764,5.1777,"JAK3",3.83556032376939,2.62706981285272,1.20849051091667
